id,week,weight,regime,gender,dosage
B38612,9,441.2,Control,Male,11%
B38612,10,452,Control,Male,11%
B38612,11,467.4,Control,Male,11%
B38612,12,414.4,Control,Male,11%
B38612,13,516.8,Control,Male,11%
B38612,14,527,Control,Male,11%
B38613,1,206.2,Control,Male,11%
B38613,2,254.4,Control,Male,11%
B38613,3,296.9,Control,Male,11%
B38613,4,328,Control,Male,11%
B38613,5,356.7,Control,Male,11%
B38613,6,386.7,Control,Male,11%
B38613,7,351.3,Control,Male,11%
B38613,8,393.8,Control,Male,11%
B38613,9,409.9,Control,Male,11%
B38613,10,433.8,Control,Male,11%
B38613,11,444.6,Control,Male,11%
B38613,12,454,Control,Male,11%
B38613,13,460.5,Control,Male,11%
B38613,14,468.6,Control,Male,11%
B38614,1,230.9,Control,Male,11%
B38614,2,275.5,Control,Male,11%
B38614,3,324.1,Control,Male,11%
B38614,4,357,Control,Male,11%
B38614,5,375.8,Control,Male,11%
B38614,6,399,Control,Male,11%
B38614,7,425.7,Control,Male,11%
B38614,8,451,Control,Male,11%
B38614,9,457.1,Control,Male,11%
B38614,10,469.7,Control,Male,11%
B38614,11,477.5,Control,Male,11%
B38614,12,488,Control,Male,11%
B38614,13,495.7,Control,Male,11%
B38614,14,505.3,Control,Male,11%
B38615,1,249.9,Control,Male,11%
B38615,2,301.3,Control,Male,11%
B38615,3,353.3,Control,Male,11%
B38615,4,394.4,Control,Male,11%
B38615,5,420.2,Control,Male,11%
B38615,6,453.9,Control,Male,11%
B38615,7,485,Control,Male,11%
B38615,8,504.8,Control,Male,11%
B38615,9,513.6,Control,Male,11%
B38615,10,541.8,Control,Male,11%
B38615,11,549.7,Control,Male,11%
B38615,12,566.2,Control,Male,11%
B38615,13,574.9,Control,Male,11%
B38615,14,545,Control,Male,11%
B38616,1,223,Control,Male,11%
B38616,2,270.6,Control,Male,11%
B38616,3,309.7,Control,Male,11%
B38616,4,345.1,Control,Male,11%
B38616,5,371.3,Control,Male,11%
B38616,6,387.4,Control,Male,11%
B38616,7,407.3,Control,Male,11%
B38616,8,430.9,Control,Male,11%
B38616,9,441.1,Control,Male,11%
B38616,10,456.9,Control,Male,11%
B38616,11,464,Control,Male,11%
B38616,12,462.7,Control,Male,11%
B38616,13,477,Control,Male,11%
B38616,14,473.5,Control,Male,11%
B38617,1,222.7,Control,Male,11%
B38617,2,256.6,Control,Male,11%
B38617,3,293.5,Control,Male,11%
B38617,4,314.8,Control,Male,11%
B38617,5,338.8,Control,Male,11%
B38617,6,359.4,Control,Male,11%
B38617,7,380,Control,Male,11%
B38617,8,400,Control,Male,11%
B38617,9,410.5,Control,Male,11%
B38617,10,421.5,Control,Male,11%
B38617,11,431.6,Control,Male,11%
B38617,12,429.6,Control,Male,11%
B38617,13,443.9,Control,Male,11%
B38617,14,443.6,Control,Male,11%
B38618,1,219,Control,Male,11%
B38618,2,262.1,Control,Male,11%
B38618,3,311.4,Control,Male,11%
B38618,4,345.8,Control,Male,11%
B38618,5,372.9,Control,Male,11%
B38618,6,395.5,Control,Male,11%
B38618,7,414.2,Control,Male,11%
B38618,8,433.5,Control,Male,11%
B38618,9,449.8,Control,Male,11%
B38618,10,464.5,Control,Male,11%
B38618,11,482.2,Control,Male,11%
B38618,12,489.8,Control,Male,11%
B38618,13,507.3,Control,Male,11%
B38618,14,497.7,Control,Male,11%
B38619,1,228.7,Control,Male,11%
B38619,2,287.3,Control,Male,11%
B38619,3,331.2,Control,Male,11%
B38619,4,362.3,Control,Male,11%
B38619,5,383.6,Control,Male,11%
B38619,6,413.1,Control,Male,11%
B38619,7,439.3,Control,Male,11%
B38619,8,469.5,Control,Male,11%
B38619,9,486.2,Control,Male,11%
